学部番号,学部,学科,学科2,第二段階指定1科類,第二段階指定1枠数,指定1残席,指定1底点,指定1点数,指定1学籍番号,第二段階指定2科類,第二段階指定2枠数,指定2残席,指定2底点,指定2点数,指定2学籍番号,第二段階指定3科類,第二段階指定3枠数,指定3残席,指定3底点,指定3点数,指定3学籍番号,第二段階指定4科類,第二段階指定4枠数,指定4残席,指定4底点,指定4点数,指定4学籍番号
67,工学部,システム創成A,システム創成A,4,12,0,0,0,0,56,2,0,0,0,0,0,0,0,0,0,0,123456,3,0,0,0,0
68,工学部,システム創成B,システム創成B,4,11,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
69,工学部,システム創成C,システム創成C,4,12,0,0,0,0,56,2,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
70,理学,数学,数学,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,13,0,0,0,0
71,理学,情報科学,情報科学,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,10,0,0,0,0
72,理学,物理学,物理学,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,21,0,0,0,0
73,理学,天文学,天文学,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,4,0,0,0,0
74,理学,地球惑星物理学,地球惑星物理学,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,10,0,0,0,0
75,理学,地球惑星環境学,地球惑星環境学,456,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,2,0,0,0,0
76,理学,化学,化学,456,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
77,理学,生物化学,生物化学,456,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
78,理学,生物情報科学,生物情報科学,456,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
79,理学,生物学,生物学,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,10,0,0,0,0
